 Total Nb of available Diagnostics: ndiagt=   193
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTSTEND|160 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor|160 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc |160 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc |160 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   |160 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   |160 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  |160 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  |160 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   |160 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   |160 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH |160 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH |160 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH |160 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH |160 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH |160 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH |160 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH |160 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT|160 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT|160 |   118 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT|160 |   117 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   119 |DFrE_SLT|160 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT|160 |   121 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT|160 |   120 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT|160 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL|160 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   124 |VISCAHZ |160 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z |160 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD |160 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D |160 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW |160 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W |160 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX |160 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX |160 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX |160 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX |160 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN |160 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN |160 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN |160 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN |160 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH |160 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH |160 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH |160 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH |160 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD|160 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD|160 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD|160 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD|160 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG|160 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG|160 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG|160 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG|160 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   |160 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv |160 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3|160 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  |160 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension |160 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |Stretch |160 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   156 |USidDrag|160 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag|160 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss |160 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   159 |Vm_Diss |160 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   160 |Um_ImplD|160 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   161 |Vm_ImplD|160 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   162 |Um_Advec|160 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec|160 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori |160 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori |160 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPhiX|160 |   167 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   167 |Vm_dPhiY|160 |   166 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   168 |Um_Ext  |160 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  |160 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_hDis2|160 |   171 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   171 |Vm_hDis2|160 |   170 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   172 |Um_hDis4|160 |   173 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   173 |Vm_hDis4|160 |   172 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   174 |Um_AdvZ3|160 |   175 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   175 |Vm_AdvZ3|160 |   174 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   176 |Um_AdvRe|160 |   177 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   177 |Vm_AdvRe|160 |   176 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   178 |botTauX |  1 |   179 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   179 |botTauY |  1 |   178 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   180 |ADVx_Um |160 |   181 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   181 |ADVy_Um |160 |   180 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   182 |ADVrE_Um|160 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   183 |ADVx_Vm |160 |   184 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   184 |ADVy_Vm |160 |   183 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   185 |ADVrE_Vm|160 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   186 |VISCx_Um|160 |   187 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   187 |VISCy_Um|160 |   186 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   188 |VISrE_Um|160 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   189 |VISrI_Um|160 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   190 |VISCx_Vm|160 |   191 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   191 |VISCy_Vm|160 |   190 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   192 |VISrE_Vm|160 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   193 |VISrI_Vm|160 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
