 Total Nb of available Diagnostics: ndiagt=   196
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTVTEND| 80 |    97 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    99 |TOTTTEND| 80 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND| 80 |       |SMR     MR|g/kg/day        |Tendency of Salinity
   101 |MoistCor| 80 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc | 80 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc | 80 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   104 |AB_gT   | 80 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   | 80 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   106 |gTinAB  | 80 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  | 80 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   108 |AB_gU   | 80 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   | 80 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |ADVr_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   111 |ADVx_TH | 80 |   112 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   112 |ADVy_TH | 80 |   111 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   113 |DFrE_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   114 |DFxE_TH | 80 |   115 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   115 |DFyE_TH | 80 |   114 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   116 |DFrI_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   117 |ADVr_SLT| 80 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   118 |ADVx_SLT| 80 |   119 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   119 |ADVy_SLT| 80 |   118 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   120 |DFrE_SLT| 80 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   121 |DFxE_SLT| 80 |   122 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   122 |DFyE_SLT| 80 |   121 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   123 |DFrI_SLT| 80 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   124 |SALTFILL| 80 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   125 |VISCAHZ | 80 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   126 |VISCA4Z | 80 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   127 |VISCAHD | 80 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   128 |VISCA4D | 80 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   129 |VISCAHW | 80 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   130 |VISCA4W | 80 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   131 |VAHZMAX | 80 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMAX | 80 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMAX | 80 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMAX | 80 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZMIN | 80 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZMIN | 80 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDMIN | 80 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DMIN | 80 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTH | 80 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTH | 80 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTH | 80 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTH | 80 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZLTHD| 80 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZLTHD| 80 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   145 |VAHDLTHD| 80 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DLTHD| 80 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   147 |VAHZSMAG| 80 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VA4ZSMAG| 80 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   149 |VAHDSMAG| 80 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   150 |VA4DSMAG| 80 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   151 |momKE   | 80 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   152 |momHDiv | 80 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   153 |momVort3| 80 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   154 |Strain  | 80 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   155 |Tension | 80 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   156 |Stretch | 80 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   157 |USidDrag| 80 |   158 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   158 |VSidDrag| 80 |   157 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   159 |Um_Diss | 80 |   160 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   160 |Vm_Diss | 80 |   159 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   161 |Um_ImplD| 80 |   162 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   162 |Vm_ImplD| 80 |   161 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   163 |Um_Advec| 80 |   164 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   164 |Vm_Advec| 80 |   163 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   165 |Um_Cori | 80 |   166 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   166 |Vm_Cori | 80 |   165 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   167 |Um_dPhiX| 80 |   168 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   168 |Vm_dPhiY| 80 |   167 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   169 |Um_Ext  | 80 |   170 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   170 |Vm_Ext  | 80 |   169 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   171 |Um_hDis2| 80 |   172 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   172 |Vm_hDis2| 80 |   171 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   173 |Um_hDis4| 80 |   174 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   174 |Vm_hDis4| 80 |   173 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   175 |Um_AdvZ3| 80 |   176 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   176 |Vm_AdvZ3| 80 |   175 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   177 |Um_AdvRe| 80 |   178 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   178 |Vm_AdvRe| 80 |   177 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   179 |Um_Metr | 80 |   180 |UUR     MR|m/s^2           |U momentum tendency from Metric terms
   180 |Vm_Metr | 80 |   179 |VVR     MR|m/s^2           |V momentum tendency from Metric terms
   181 |botTauX |  1 |   182 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   182 |botTauY |  1 |   181 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   183 |ADVx_Um | 80 |   184 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   184 |ADVy_Um | 80 |   183 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   185 |ADVrE_Um| 80 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   186 |ADVx_Vm | 80 |   187 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   187 |ADVy_Vm | 80 |   186 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   188 |ADVrE_Vm| 80 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   189 |VISCx_Um| 80 |   190 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   190 |VISCy_Um| 80 |   189 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   191 |VISrE_Um| 80 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   192 |VISrI_Um| 80 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   193 |VISCx_Vm| 80 |   194 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   194 |VISCy_Vm| 80 |   193 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   195 |VISrE_Vm| 80 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   196 |VISrI_Vm| 80 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
